best better heaviest JJS_JJR heavier
develops develop builds VBZ_VB build
develop develops recognize VB_VBZ recognizes
develops develop recognizes VBZ_VB recognize
plays played knows VBZ_VBD knew
played plays knew VBD_VBZ knows
plays played makes VBZ_VBD made
played plays made VBD_VBZ makes
plays played includes VBZ_VBD included
played plays included VBD_VBZ includes
plays played avoids VBZ_VBD avoided
played plays avoided VBD_VBZ avoids
plays played reduces VBZ_VBD reduced
played plays reduced VBD_VBZ reduces
provide provided make VB_VBD made
provided provide made VBD_VB make
provide provides make VB_VBZ makes
provides provide makes VBZ_VB make
provides provided makes VBZ_VBD made
provided provides made VBD_VBZ makes
provides provided uses VBZ_VBD used
provided provides used VBD_VBZ uses
provide provided save VB_VBD saved
provided provide saved VBD_VB save
provide provides save VB_VBZ saves
provides provide saves VBZ_VB save
provides provided saves VBZ_VBD saved
provided provides saved VBD_VBZ saves
provide provided take VB_VBD took
provided provide took VBD_VB take
provide provides take VB_VBZ takes
provides provide takes VBZ_VB take
provides provided takes VBZ_VBD took
provided provides took VBD_VBZ takes
provide provided find VB_VBD found
provided provide found VBD_VB find
provide provides find VB_VBZ finds
provides provide finds VBZ_VB find
provides provided finds VBZ_VBD found
provided provides found VBD_VBZ finds
accept accepted know VB_VBD knew
accepted accept knew VBD_VB know
accept accepts know VB_VBZ knows
accepts accept knows VBZ_VB know
accepts accepted knows VBZ_VBD knew
accepted accepts knew VBD_VBZ knows
accept accepted prove VB_VBD proved
accepted accept proved VBD_VB prove
accept accepts prove VB_VBZ proves
accepts accept proves VBZ_VB prove
accepts accepted proves VBZ_VBD proved
accepted accepts proved VBD_VBZ proves
accept accepted join VB_VBD joined
accepted accept joined VBD_VB join
accept accepts join VB_VBZ joins
accepts accept joins VBZ_VB join
accepts accepted joins VBZ_VBD joined
accepted accepts joined VBD_VBZ joins
accepts accepted opens VBZ_VBD opened
accepted accepts opened VBD_VBZ opens
accept accepted go VB_VBD went
accepted accept went VBD_VB go
accept accepts go VB_VBZ goes
accepts accept goes VBZ_VB go
accepts accepted goes VBZ_VBD went
accepted accepts went VBD_VBZ goes
says said returns VBZ_VBD returned
said says returned VBD_VBZ returns
say said discuss VB_VBD discussed
said say discussed VBD_VB discuss
say says discuss VB_VBZ discusses
says say discusses VBZ_VB discuss
says said discusses VBZ_VBD discussed
said says discussed VBD_VBZ discusses
say said want VB_VBD wanted
said say wanted VBD_VB want
say says want VB_VBZ wants
says say wants VBZ_VB want
says said wants VBZ_VBD wanted
said says wanted VBD_VBZ wants
say said seek VB_VBD sought
said say sought VBD_VB seek
say says seek VB_VBZ seeks
says say seeks VBZ_VB seek
says said seeks VBZ_VBD sought
said says sought VBD_VBZ seeks
say said reduce VB_VBD reduced
said say reduced VBD_VB reduce
say says reduce VB_VBZ reduces
says say reduces VBZ_VB reduce
says said reduces VBZ_VBD reduced
said says reduced VBD_VBZ reduces
come came feel VB_VBD felt
came come felt VBD_VB feel
come comes feel VB_VBZ feels
comes come feels VBZ_VB feel
comes came feels VBZ_VBD felt
came comes felt VBD_VBZ feels
come came discuss VB_VBD discussed
came come discussed VBD_VB discuss
come comes discuss VB_VBZ discusses
comes come discusses VBZ_VB discuss
comes came discusses VBZ_VBD discussed
came comes discussed VBD_VBZ discusses
come comes think VB_VBZ thinks
comes come thinks VBZ_VB think
come came follow VB_VBD followed
came come followed VBD_VB follow
come comes follow VB_VBZ follows
comes come follows VBZ_VB follow
comes came follows VBZ_VBD followed
came comes followed VBD_VBZ follows
know knew consider VB_VBD considered
knew know considered VBD_VB consider
know knows consider VB_VBZ considers
knows know considers VBZ_VB consider
knows knew considers VBZ_VBD considered
knew knows considered VBD_VBZ considers
knows knew starts VBZ_VBD started
knew knows started VBD_VBZ starts
know knew be VB_VBD was
knew know was VBD_VB be
know knows be VB_VBZ is
knows know is VBZ_VB be
knows knew is VBZ_VBD was
knew knows was VBD_VBZ is
know knew decide VB_VBD decided
knew know decided VBD_VB decide
know knows decide VB_VBZ decides
knows know decides VBZ_VB decide
knows knew decides VBZ_VBD decided
knew knows decided VBD_VBZ decides
know knew give VB_VBD gave
knew know gave VBD_VB give
know knows give VB_VBZ gives
knows know gives VBZ_VB give
knows knew gives VBZ_VBD gave
knew knows gave VBD_VBZ gives
become became reach VB_VBD reached
became become reached VBD_VB reach
become becomes reach VB_VBZ reaches
becomes become reaches VBZ_VB reach
becomes became reaches VBZ_VBD reached
became becomes reached VBD_VBZ reaches
becomes became lives VBZ_VBD lived
became becomes lived VBD_VBZ lives
become became require VB_VBD required
became become required VBD_VB require
become becomes require VB_VBZ requires
becomes become requires VBZ_VB require
becomes became requires VBZ_VBD required
became becomes required VBD_VBZ requires
become became celebrate VB_VBD celebrated
became become celebrated VBD_VB celebrate
become becomes celebrate VB_VBZ celebrates
becomes become celebrates VBZ_VB celebrate
becomes became celebrates VBZ_VBD celebrated
became becomes celebrated VBD_VBZ celebrates
uses used raises VBZ_VBD raised
used uses raised VBD_VBZ raises
uses used seems VBZ_VBD seemed
used uses seemed VBD_VBZ seems
uses used requires VBZ_VBD required
used uses required VBD_VBZ requires
uses used shows VBZ_VBD showed
used uses showed VBD_VBZ shows
uses used serves VBZ_VBD served
used uses served VBD_VBZ serves
win won reach VB_VBD reached
won win reached VBD_VB reach
win wins reach VB_VBZ reaches
wins win reaches VBZ_VB reach
wins won reaches VBZ_VBD reached
won wins reached VBD_VBZ reaches
win won try VB_VBD tried
won win tried VBD_VB try
win wins try VB_VBZ tries
wins win tries VBZ_VB try
wins won tries VBZ_VBD tried
won wins tried VBD_VBZ tries
win won prevent VB_VBD prevented
won win prevented VBD_VB prevent
win wins prevent VB_VBZ prevents
wins win prevents VBZ_VB prevent
wins won prevents VBZ_VBD prevented
won wins prevented VBD_VBZ prevents
win won become VB_VBD became
won win became VBD_VB become
win wins become VB_VBZ becomes
wins win becomes VBZ_VB become
wins won becomes VBZ_VBD became
won wins became VBD_VBZ becomes
wins won turns VBZ_VBD turned
won wins turned VBD_VBZ turns
think thinks determine VB_VBZ determines
thinks think determines VBZ_VB determine
think thinks keep VB_VBZ keeps
thinks think keeps VBZ_VB keep
think thinks serve VB_VBZ serves
thinks think serves VBZ_VB serve
think thinks say VB_VBZ says
thinks think says VBZ_VB say
produce produced eliminate VB_VBD eliminated
produced produce eliminated VBD_VB eliminate
produce produces eliminate VB_VBZ eliminates
produces produce eliminates VBZ_VB eliminate
produces produced eliminates VBZ_VBD eliminated
produced produces eliminated VBD_VBZ eliminates
produce produced ask VB_VBD asked
produced produce asked VBD_VB ask
produce produces ask VB_VBZ asks
produces produce asks VBZ_VB ask
produces produced asks VBZ_VBD asked
produced produces asked VBD_VBZ asks
produce produced get VB_VBD got
produced produce got VBD_VB get
produce produces get VB_VBZ gets
produces produce gets VBZ_VB get
produces produced gets VBZ_VBD got
produced produces got VBD_VBZ gets
produces produced leads VBZ_VBD led
produced produces led VBD_VBZ leads
produce produced follow VB_VBD followed
produced produce followed VBD_VB follow
produce produces follow VB_VBZ follows
produces produce follows VBZ_VB follow
produces produced follows VBZ_VBD followed
produced produces followed VBD_VBZ follows
pays paid increases VBZ_VBD increased
paid pays increased VBD_VBZ increases
pays paid meets VBZ_VBD met
paid pays met VBD_VBZ meets
pays paid becomes VBZ_VBD became
paid pays became VBD_VBZ becomes
pays paid follows VBZ_VBD followed
paid pays followed VBD_VBZ follows
pays paid shows VBZ_VBD showed
paid pays showed VBD_VBZ shows
follow followed produce VB_VBD produced
followed follow produced VBD_VB produce
follow follows produce VB_VBZ produces
follows follow produces VBZ_VB produce
follows followed produces VBZ_VBD produced
followed follows produced VBD_VBZ produces
follow followed bring VB_VBD brought
followed follow brought VBD_VB bring
follow follows bring VB_VBZ brings
follows follow brings VBZ_VB bring
follows followed brings VBZ_VBD brought
followed follows brought VBD_VBZ brings
follow followed need VB_VBD needed
followed follow needed VBD_VB need
follow followed learn VB_VBD learned
followed follow learned VBD_VB learn
follow follows learn VB_VBZ learns
follows follow learns VBZ_VB learn
follows followed learns VBZ_VBD learned
followed follows learned VBD_VBZ learns
continue continued make VB_VBD made
continued continue made VBD_VB make
continue continues make VB_VBZ makes
continues continue makes VBZ_VB make
continues continued makes VBZ_VBD made
continued continues made VBD_VBZ makes
continue continued send VB_VBD sent
continued continue sent VBD_VB send
continue continues send VB_VBZ sends
continues continue sends VBZ_VB send
continues continued sends VBZ_VBD sent
continued continues sent VBD_VBZ sends
continue continued receive VB_VBD received
continued continue received VBD_VB receive
continue continues receive VB_VBZ receives
continues continue receives VBZ_VB receive
continues continued receives VBZ_VBD received
continued continues received VBD_VBZ receives
continue continued have VB_VBD had
continued continue had VBD_VB have
continue continues have VB_VBZ has
continues continue has VBZ_VB have
continues continued has VBZ_VBD had
continued continues had VBD_VBZ has
continues continued likes VBZ_VBD liked
continued continues liked VBD_VBZ likes
want wanted provide VB_VBD provided
wanted want provided VBD_VB provide
want wants provide VB_VBZ provides
wants want provides VBZ_VB provide
wants wanted provides VBZ_VBD provided
wanted wants provided VBD_VBZ provides
want wanted continue VB_VBD continued
wanted want continued VBD_VB continue
want wants continue VB_VBZ continues
wants want continues VBZ_VB continue
wants wanted continues VBZ_VBD continued
wanted wants continued VBD_VBZ continues
want wanted promote VB_VBD promoted
wanted want promoted VBD_VB promote
want wants promote VB_VBZ promotes
wants want promotes VBZ_VB promote
wants wanted promotes VBZ_VBD promoted
wanted wants promoted VBD_VBZ promotes
want wanted find VB_VBD found
wanted want found VBD_VB find
want wants find VB_VBZ finds
wants want finds VBZ_VB find
wants wanted finds VBZ_VBD found
wanted wants found VBD_VBZ finds
allow allowed prove VB_VBD proved
allowed allow proved VBD_VB prove
allow allows prove VB_VBZ proves
allows allow proves VBZ_VB prove
allows allowed proves VBZ_VBD proved
allowed allows proved VBD_VBZ proves
allow allowed eliminate VB_VBD eliminated
allowed allow eliminated VBD_VB eliminate
allow allows eliminate VB_VBZ eliminates
allows allow eliminates VBZ_VB eliminate
allows allowed eliminates VBZ_VBD eliminated
allowed allows eliminated VBD_VBZ eliminates
allow allowed preserve VB_VBD preserved
allowed allow preserved VBD_VB preserve
allow allows preserve VB_VBZ preserves
allows allow preserves VBZ_VB preserve
allows allowed preserves VBZ_VBD preserved
allowed allows preserved VBD_VBZ preserves
allow allowed keep VB_VBD kept
allowed allow kept VBD_VB keep
allow allows keep VB_VBZ keeps
allows allow keeps VBZ_VB keep
allows allowed keeps VBZ_VBD kept
allowed allows kept VBD_VBZ keeps
allow allowed seek VB_VBD sought
allowed allow sought VBD_VB seek
allow allows seek VB_VBZ seeks
allows allow seeks VBZ_VB seek
allows allowed seeks VBZ_VBD sought
allowed allows sought VBD_VBZ seeks
brings brought moves VBZ_VBD moved
brought brings moved VBD_VBZ moves
bring brought believe VB_VBD believed
brought bring believed VBD_VB believe
bring brings believe VB_VBZ believes
brings bring believes VBZ_VB believe
brings brought believes VBZ_VBD believed
brought brings believed VBD_VBZ believes
brings brought returns VBZ_VBD returned
brought brings returned VBD_VBZ returns
bring brings develop VB_VBZ develops
brings bring develops VBZ_VB develop
meet met reach VB_VBD reached
met meet reached VBD_VB reach
meet meets reach VB_VBZ reaches
meets meet reaches VBZ_VB reach
meets met reaches VBZ_VBD reached
met meets reached VBD_VBZ reaches
meet meets extend VB_VBZ extends
meets meet extends VBZ_VB extend
meet met raise VB_VBD raised
met meet raised VBD_VB raise
meet meets raise VB_VBZ raises
meets meet raises VBZ_VB raise
meets met raises VBZ_VBD raised
met meets raised VBD_VBZ raises
meet met build VB_VBD built
met meet built VBD_VB build
meet meets build VB_VBZ builds
meets meet builds VBZ_VB build
meets met builds VBZ_VBD built
met meets built VBD_VBZ builds
meet met promote VB_VBD promoted
met meet promoted VBD_VB promote
meet meets promote VB_VBZ promotes
meets meet promotes VBZ_VB promote
meets met promotes VBZ_VBD promoted
met meets promoted VBD_VBZ promotes
tries tried pays VBZ_VBD paid
tried tries paid VBD_VBZ pays
try tried celebrate VB_VBD celebrated
tried try celebrated VBD_VB celebrate
try tries celebrate VB_VBZ celebrates
tries try celebrates VBZ_VB celebrate
tries tried celebrates VBZ_VBD celebrated
tried tries celebrated VBD_VBZ celebrates
try tries develop VB_VBZ develops
tries try develops VBZ_VB develop
try tried take VB_VBD took
tried try took VBD_VB take
try tries take VB_VBZ takes
tries try takes VBZ_VB take
tries tried takes VBZ_VBD took
tried tries took VBD_VBZ takes
try tried avoid VB_VBD avoided
tried try avoided VBD_VB avoid
try tries avoid VB_VBZ avoids
tries try avoids VBZ_VB avoid
tries tried avoids VBZ_VBD avoided
tried tries avoided VBD_VBZ avoids
build built know VB_VBD knew
built build knew VBD_VB know
build builds know VB_VBZ knows
builds build knows VBZ_VB know
builds built knows VBZ_VBD knew
built builds knew VBD_VBZ knows
build built bring VB_VBD brought
built build brought VBD_VB bring
build builds bring VB_VBZ brings
builds build brings VBZ_VB bring
builds built brings VBZ_VBD brought
built builds brought VBD_VBZ brings
build built discuss VB_VBD discussed
built build discussed VBD_VB discuss
build builds discuss VB_VBZ discusses
builds build discusses VBZ_VB discuss
builds built discusses VBZ_VBD discussed
built builds discussed VBD_VBZ discusses
build built sell VB_VBD sold
built build sold VBD_VB sell
build builds sell VB_VBZ sells
builds build sells VBZ_VB sell
builds built sells VBZ_VBD sold
built builds sold VBD_VBZ sells
build built follow VB_VBD followed
built build followed VBD_VB follow
build builds follow VB_VBZ follows
builds build follows VBZ_VB follow
builds built follows VBZ_VBD followed
built builds followed VBD_VBZ follows
ensure ensured meet VB_VBD met
ensured ensure met VBD_VB meet
ensure ensures meet VB_VBZ meets
ensures ensure meets VBZ_VB meet
ensures ensured meets VBZ_VBD met
ensured ensures met VBD_VBZ meets
ensure ensured need VB_VBD needed
ensured ensure needed VBD_VB need
create created earn VB_VBD earned
created create earned VBD_VB earn
create creates earn VB_VBZ earns
creates create earns VBZ_VB earn
creates created earns VBZ_VBD earned
created creates earned VBD_VBZ earns
create created help VB_VBD helped
created create helped VBD_VB help
create creates help VB_VBZ helps
creates create helps VBZ_VB help
creates created helps VBZ_VBD helped
created creates helped VBD_VBZ helps
creates created lives VBZ_VBD lived
created creates lived VBD_VBZ lives
create created become VB_VBD became
created create became VBD_VB become
create creates become VB_VBZ becomes
creates create becomes VBZ_VB become
creates created becomes VBZ_VBD became
created creates became VBD_VBZ becomes
create created have VB_VBD had
created create had VBD_VB have
create creates have VB_VBZ has
creates create has VBZ_VB have
creates created has VBZ_VBD had
created creates had VBD_VBZ has
begins began lives VBZ_VBD lived
began begins lived VBD_VBZ lives
begins began protects VBZ_VBD protected
began begins protected VBD_VBZ protects
begins began returns VBZ_VBD returned
began begins returned VBD_VBZ returns
begins began seeks VBZ_VBD sought
began begins sought VBD_VBZ seeks
shows showed allows VBZ_VBD allowed
showed shows allowed VBD_VBZ allows
shows showed seems VBZ_VBD seemed
showed shows seemed VBD_VBZ seems
shows showed says VBZ_VBD said
showed shows said VBD_VBZ says
moves moved gets VBZ_VBD got
moved moves got VBD_VBZ gets
moves moved asks VBZ_VBD asked
moved moves asked VBD_VBZ asks
moves moved preserves VBZ_VBD preserved
moved moves preserved VBD_VBZ preserves
moves moved sees VBZ_VBD saw
moved moves saw VBD_VBZ sees
promote promoted eliminate VB_VBD eliminated
promoted promote eliminated VBD_VB eliminate
promote promotes eliminate VB_VBZ eliminates
promotes promote eliminates VBZ_VB eliminate
promotes promoted eliminates VBZ_VBD eliminated
promoted promotes eliminated VBD_VBZ eliminates
promote promoted decide VB_VBD decided
promoted promote decided VBD_VB decide
promote promotes decide VB_VBZ decides
promotes promote decides VBZ_VB decide
promotes promoted decides VBZ_VBD decided
promoted promotes decided VBD_VBZ decides
promote promoted preserve VB_VBD preserved
promoted promote preserved VBD_VB preserve
promote promotes preserve VB_VBZ preserves
promotes promote preserves VBZ_VB preserve
promotes promoted preserves VBZ_VBD preserved
promoted promotes preserved VBD_VBZ preserves
promotes promoted leads VBZ_VBD led
promoted promotes led VBD_VBZ leads
eliminate eliminated resolve VB_VBD resolved
eliminated eliminate resolved VBD_VB resolve
eliminate eliminated win VB_VBD won
eliminated eliminate won VBD_VB win
eliminate eliminates win VB_VBZ wins
eliminates eliminate wins VBZ_VB win
eliminates eliminated wins VBZ_VBD won
eliminated eliminates won VBD_VBZ wins
eliminate eliminated join VB_VBD joined
eliminated eliminate joined VBD_VB join
eliminate eliminates join VB_VBZ joins
eliminates eliminate joins VBZ_VB join
eliminates eliminated joins VBZ_VBD joined
eliminated eliminates joined VBD_VBZ joins
eliminate eliminated see VB_VBD saw
eliminated eliminate saw VBD_VB see
eliminate eliminates see VB_VBZ sees
eliminates eliminate sees VBZ_VB see
eliminates eliminated sees VBZ_VBD saw
eliminated eliminates saw VBD_VBZ sees
eliminate eliminates develop VB_VBZ develops
eliminates eliminate develops VBZ_VB develop
turns turned tries VBZ_VBD tried
turned turns tried VBD_VBZ tries
turns turned determines VBZ_VBD determined
turned turns determined VBD_VBZ determines
turns turned takes VBZ_VBD took
turned turns took VBD_VBZ takes
turns turned says VBZ_VBD said
turned turns said VBD_VBZ says
reduces reduced lives VBZ_VBD lived
reduced reduces lived VBD_VBZ lives
reduces reduced pays VBZ_VBD paid
reduced reduces paid VBD_VBZ pays
reduce reduced raise VB_VBD raised
reduced reduce raised VBD_VB raise
reduce reduces raise VB_VBZ raises
reduces reduce raises VBZ_VB raise
reduces reduced raises VBZ_VBD raised
reduced reduces raised VBD_VBZ raises
reduce reduced be VB_VBD was
reduced reduce was VBD_VB be
reduce reduces be VB_VBZ is
reduces reduce is VBZ_VB be
reduces reduced is VBZ_VBD was
reduced reduces was VBD_VBZ is
reduce reduced find VB_VBD found
reduced reduce found VBD_VB find
reduce reduces find VB_VBZ finds
reduces reduce finds VBZ_VB find
reduces reduced finds VBZ_VBD found
reduced reduces found VBD_VBZ finds
buy bought produce VB_VBD produced
bought buy produced VBD_VB produce
buy buys produce VB_VBZ produces
buys buy produces VBZ_VB produce
buys bought produces VBZ_VBD produced
bought buys produced VBD_VBZ produces
buys bought opens VBZ_VBD opened
bought buys opened VBD_VBZ opens
buy bought remain VB_VBD remained
bought buy remained VBD_VB remain
buy buys remain VB_VBZ remains
buys buy remains VBZ_VB remain
buys bought remains VBZ_VBD remained
bought buys remained VBD_VBZ remains
buy bought ensure VB_VBD ensured
bought buy ensured VBD_VB ensure
buy buys ensure VB_VBZ ensures
buys buy ensures VBZ_VB ensure
buys bought ensures VBZ_VBD ensured
bought buys ensured VBD_VBZ ensures
buy bought say VB_VBD said
bought buy said VBD_VB say
buy buys say VB_VBZ says
buys buy says VBZ_VB say
buys bought says VBZ_VBD said
bought buys said VBD_VBZ says
protect protected win VB_VBD won
protected protect won VBD_VB win
protect protects win VB_VBZ wins
protects protect wins VBZ_VB win
protects protected wins VBZ_VBD won
protected protects won VBD_VBZ wins
protect protected join VB_VBD joined
protected protect joined VBD_VB join
protect protects join VB_VBZ joins
protects protect joins VBZ_VB join
protects protected joins VBZ_VBD joined
protected protects joined VBD_VBZ joins
protect protected remain VB_VBD remained
protected protect remained VBD_VB remain
protect protects remain VB_VBZ remains
protects protect remains VBZ_VB remain
protects protected remains VBZ_VBD remained
protected protects remained VBD_VBZ remains
protects protected shows VBZ_VBD showed
protected protects showed VBD_VBZ shows
protect protected reduce VB_VBD reduced
protected protect reduced VBD_VB reduce
protect protects reduce VB_VBZ reduces
protects protect reduces VBZ_VB reduce
protects protected reduces VBZ_VBD reduced
protected protects reduced VBD_VBZ reduces
preserve preserved win VB_VBD won
preserved preserve won VBD_VB win
preserve preserves win VB_VBZ wins
preserves preserve wins VBZ_VB win
preserves preserved wins VBZ_VBD won
preserved preserves won VBD_VBZ wins
preserves preserved pays VBZ_VBD paid
preserved preserves paid VBD_VBZ pays
preserve preserved give VB_VBD gave
preserved preserve gave VBD_VB give
preserve preserves give VB_VBZ gives
preserves preserve gives VBZ_VB give
preserves preserved gives VBZ_VBD gave
preserved preserves gave VBD_VBZ gives
preserve preserved save VB_VBD saved
preserved preserve saved VBD_VB save
preserve preserves save VB_VBZ saves
preserves preserve saves VBZ_VB save
preserves preserved saves VBZ_VBD saved
preserved preserves saved VBD_VBZ saves
stops stopped stays VBZ_VBD stayed
stopped stops stayed VBD_VBZ stays
stops stopped joins VBZ_VBD joined
stopped stops joined VBD_VBZ joins
stops stopped creates VBZ_VBD created
stopped stops created VBD_VBZ creates
stops stopped finds VBZ_VBD found
stopped stops found VBD_VBZ finds
consider considered prove VB_VBD proved
considered consider proved VBD_VB prove
consider considers prove VB_VBZ proves
considers consider proves VBZ_VB prove
considers considered proves VBZ_VBD proved
considered considers proved VBD_VBZ proves
consider considered produce VB_VBD produced
considered consider produced VBD_VB produce
consider considers produce VB_VBZ produces
considers consider produces VBZ_VB produce
considers considered produces VBZ_VBD produced
considered considers produced VBD_VBZ produces
consider considered eliminate VB_VBD eliminated
considered consider eliminated VBD_VB eliminate
consider considers eliminate VB_VBZ eliminates
considers consider eliminates VBZ_VB eliminate
considers considered eliminates VBZ_VBD eliminated
considered considers eliminated VBD_VBZ eliminates
consider considered accommodate VB_VBD accommodated
considered consider accommodated VBD_VB accommodate
avoid avoided happen VB_VBD happened
avoided avoid happened VBD_VB happen
avoid avoided accommodate VB_VBD accommodated
avoided avoid accommodated VBD_VB accommodate
avoid avoided reduce VB_VBD reduced
avoided avoid reduced VBD_VB reduce
avoid avoids reduce VB_VBZ reduces
avoids avoid reduces VBZ_VB reduce
avoids avoided reduces VBZ_VBD reduced
avoided avoids reduced VBD_VBZ reduces
avoids avoided turns VBZ_VBD turned
avoided avoids turned VBD_VBZ turns
starts started produces VBZ_VBD produced
started starts produced VBD_VBZ produces
starts started proves VBZ_VBD proved
started starts proved VBD_VBZ proves
starts started meets VBZ_VBD met
started starts met VBD_VBZ meets
starts started uses VBZ_VBD used
started starts used VBD_VBZ uses
starts started becomes VBZ_VBD became
started starts became VBD_VBZ becomes
feel felt prove VB_VBD proved
felt feel proved VBD_VB prove
feel feels prove VB_VBZ proves
feels feel proves VBZ_VB prove
feels felt proves VBZ_VBD proved
felt feels proved VBD_VBZ proves
feel felt bring VB_VBD brought
felt feel brought VBD_VB bring
feel feels bring VB_VBZ brings
feels feel brings VBZ_VB bring
feels felt brings VBZ_VBD brought
felt feels brought VBD_VBZ brings
feel felt determine VB_VBD determined
felt feel determined VBD_VB determine
feel feels determine VB_VBZ determines
feels feel determines VBZ_VB determine
feels felt determines VBZ_VBD determined
felt feels determined VBD_VBZ determines
feel felt decide VB_VBD decided
felt feel decided VBD_VB decide
feel feels decide VB_VBZ decides
feels feel decides VBZ_VB decide
feels felt decides VBZ_VBD decided
felt feels decided VBD_VBZ decides
feel felt follow VB_VBD followed
felt feel followed VBD_VB follow
feel feels follow VB_VBZ follows
feels feel follows VBZ_VB follow
feels felt follows VBZ_VBD followed
felt feels followed VBD_VBZ follows
sell sold resolve VB_VBD resolved
sold sell resolved VBD_VB resolve
sell sold win VB_VBD won
sold sell won VBD_VB win
sell sells win VB_VBZ wins
sells sell wins VBZ_VB win
sells sold wins VBZ_VBD won
sold sells won VBD_VBZ wins
sell sold buy VB_VBD bought
sold sell bought VBD_VB buy
sell sells buy VB_VBZ buys
sells sell buys VBZ_VB buy
sells sold buys VBZ_VBD bought
sold sells bought VBD_VBZ buys
sells sold likes VBZ_VBD liked
sold sells liked VBD_VBZ likes
stay stayed eliminate VB_VBD eliminated
stayed stay eliminated VBD_VB eliminate
stay stays eliminate VB_VBZ eliminates
stays stay eliminates VBZ_VB eliminate
stays stayed eliminates VBZ_VBD eliminated
stayed stays eliminated VBD_VBZ eliminates
stays stayed leads VBZ_VBD led
stayed stays led VBD_VBZ leads
stay stayed save VB_VBD saved
stayed stay saved VBD_VB save
stay stays save VB_VBZ saves
stays stay saves VBZ_VB save
stays stayed saves VBZ_VBD saved
stayed stays saved VBD_VBZ saves
stay stayed serve VB_VBD served
stayed stay served VBD_VB serve
stay stays serve VB_VBZ serves
stays stay serves VBZ_VB serve
stays stayed serves VBZ_VBD served
stayed stays served VBD_VBZ serves
extend extends go VB_VBZ goes
extends extend goes VBZ_VB go
extend extends decide VB_VBZ decides
extends extend decides VBZ_VB decide
extend extends understand VB_VBZ understands
extends extend understands VBZ_VB understand
extend extends serve VB_VBZ serves
extends extend serves VBZ_VB serve
tell told stay VB_VBD stayed
told tell stayed VBD_VB stay
tell tells stay VB_VBZ stays
tells tell stays VBZ_VB stay
tells told stays VBZ_VBD stayed
told tells stayed VBD_VBZ stays
tell told help VB_VBD helped
told tell helped VBD_VB help
tell tells help VB_VBZ helps
tells tell helps VBZ_VB help
tells told helps VBZ_VBD helped
told tells helped VBD_VBZ helps
tell told seem VB_VBD seemed
told tell seemed VBD_VB seem
tell tells seem VB_VBZ seems
tells tell seems VBZ_VB seem
tells told seems VBZ_VBD seemed
told tells seemed VBD_VBZ seems
tell told keep VB_VBD kept
told tell kept VBD_VB keep
tell tells keep VB_VBZ keeps
tells tell keeps VBZ_VB keep
tells told keeps VBZ_VBD kept
told tells kept VBD_VBZ keeps
tell told say VB_VBD said
told tell said VBD_VB say
tell tells say VB_VBZ says
tells tell says VBZ_VB say
tells told says VBZ_VBD said
told tells said VBD_VBZ says
holds held allows VBZ_VBD allowed
held holds allowed VBD_VBZ allows
holds held comes VBZ_VBD came
held holds came VBD_VBZ comes
holds held remains VBZ_VBD remained
held holds remained VBD_VBZ remains
holds held takes VBZ_VBD took
held holds took VBD_VBZ takes
holds held avoids VBZ_VBD avoided
held holds avoided VBD_VBZ avoids
include included earn VB_VBD earned
included include earned VBD_VB earn
include includes earn VB_VBZ earns
includes include earns VBZ_VB earn
includes included earns VBZ_VBD earned
included includes earned VBD_VBZ earns
include included remain VB_VBD remained
included include remained VBD_VB remain
include includes remain VB_VBZ remains
includes include remains VBZ_VB remain
includes included remains VBZ_VBD remained
included includes remained VBD_VBZ remains
include included promote VB_VBD promoted
included include promoted VBD_VB promote
include includes promote VB_VBZ promotes
includes include promotes VBZ_VB promote
includes included promotes VBZ_VBD promoted
included includes promoted VBD_VBZ promotes
include included take VB_VBD took
included include took VBD_VB take
include includes take VB_VBZ takes
includes include takes VBZ_VB take
includes included takes VBZ_VBD took
included includes took VBD_VBZ takes
returns returned increases VBZ_VBD increased
returned returns increased VBD_VBZ increases
returns returned includes VBZ_VBD included
returned returns included VBD_VBZ includes
returns returned saves VBZ_VBD saved
returned returns saved VBD_VBZ saves
returns returned says VBZ_VBD said
returned returns said VBD_VBZ says
likes liked joins VBZ_VBD joined
liked likes joined VBD_VBZ joins
likes liked builds VBZ_VBD built
liked likes built VBD_VBZ builds
likes liked finds VBZ_VBD found
liked likes found VBD_VBZ finds
recognize recognized be VB_VBD was
recognized recognize was VBD_VB be
recognize recognizes be VB_VBZ is
recognizes recognize is VBZ_VB be
recognizes recognized is VBZ_VBD was
recognized recognizes was VBD_VBZ is
recognize recognized celebrate VB_VBD celebrated
recognized recognize celebrated VBD_VB celebrate
recognize recognizes celebrate VB_VBZ celebrates
recognizes recognize celebrates VBZ_VB celebrate
recognizes recognized celebrates VBZ_VBD celebrated
recognized recognizes celebrated VBD_VBZ celebrates
recognize recognized learn VB_VBD learned
recognized recognize learned VBD_VB learn
recognize recognizes learn VB_VBZ learns
recognizes recognize learns VBZ_VB learn
recognizes recognized learns VBZ_VBD learned
recognized recognizes learned VBD_VBZ learns
recognize recognized keep VB_VBD kept
recognized recognize kept VBD_VB keep
recognize recognizes keep VB_VBZ keeps
recognizes recognize keeps VBZ_VB keep
recognizes recognized keeps VBZ_VBD kept
recognized recognizes kept VBD_VBZ keeps
recognize recognized find VB_VBD found
recognized recognize found VBD_VB find
recognize recognizes find VB_VBZ finds
recognizes recognize finds VBZ_VB find
